description,category,name,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
,sugar free,Syrups,100,52,0,,0,210,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0.00.00,0,0,0,0,0,0,0,0,0,0,0.5,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.13,0.7,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,87,,
 AMP,sugar free,Beverages,100,2,0,,0,31,0,0,0,0.833,0.417,0.142,0,0,0,0,0,0,0,0,0.25,0.083,0.00.00,0,0,0,0,0.005,0,3,0,17,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,30,0,98.35,,
 dry mix,sugar free,Cookies,100,426,13,2,0,83,3.3,48,45,1.24,0.091,0.109,0.139,0,0,0,0,0,0,0,0,0.008,0,0,0,0,12,0.026,1.52,4,0.201,57,335,2,0.14,2.9,0.096,0.121,0.156,0.056,0.83,0.104,0.056,0,0.109,0.189,0.109,0.0440.136,0.275,0.144,0.087,0.041,0.087,0.136,80.4,4.2,0,0,0,0,0,0,0,12.5,2.018,5.233,4.577,0,0,0.7,0,0,3.5,,
 Energy Drink,sugar free,Beverages,100,4,0,,0,42,0,167,167,0,0,0,0,0,0,0,0,0,0,0,2.5,0.833,25.00.00,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,32,0,99.11,,
,sugar free,ARCHWAY Home Style Cookies,100,442,21,4.9,0,308,0,58,0,1.81,0,0.17,0.27,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1.96,0,0,0,87,0,0,5.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.2,1.9,1.26,0,0,0,0,0,0,20.92,4.9,7.86,1.31,0,0,1.34,0,0,5,,
 ROCKSTAR,sugar free,Beverages,100,4,0.1,,0,52,0,0,0,8.333,4.167,1.417,0.025,0,0,0,0,0,0,0,2.5,0.833,0.00.00,0,0,0,13,0.005,0.02,3,0,0,3,0.2,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0.62,33,0,98.35,,
 with creme filling,sugar free,Cookies,100,531,29,4.3,0,71,1.2,42,38,1.8,0.098,0.15,0.24,1,0,0,0,0,31,0,0,0.009,0.00.00,3.08,3.08,2.6,0,0.038,1.29,7,0.254,40,57,6.3,0.2,3.57,0.093,0.117,0.128,0.067,1.014,0.104,0.062,0,0.116,0.209,0.107,0.0520.145,0.342,0.161,0.085,0.044,0.088,0.135,66.26,14.3,0,0,0,0,0,0,0,28.57,4.257,12.137,10.748,0,0,0.9,0,0,0.7,,
 commercially prepared,sugar free,Cookies,100,523,31,8.6,17,448,38.5,83,48,5.538,0,0.222,0.34,1,0,0,0,0,31,0,0,0.112,0.00.00,3.51,3.51,34.8,0,0.199,2.48,49,0,132,202,16.6,1.05,10.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.52,3.4,0,0,0,0,0,0,0,31.03,8.621,7.735,11.486,17,0,1.92,0,0,6.17,,
,healthy,CAMPBELL'S CHUNKY Soups,100,49,0.4,0.2,0,167,0,0,0,0,0,0,0,1633,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0.44,0,0,0,0,0,0,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,1.6,3.27,0,0,0,0,0,0,0.41,0.204,0,0,0,0,0.67,0,0,87.7,,
,healthy,CAMPBELL'S CHUNKY,100,41,1,0.2,8,161,0,0,0,0,0,0,0,491,0,0,0,0,0,0,0,0,0.5,0,0,0,12,0,0.34,8,0,36,317,0,0.47,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0.8,1.12,0,0,0,0,0,0,0.97,0.18,0.4,0.18,8,0,1.1,0,0,87.59,,
,healthy,CAMPBELL'S Soup on theo,100,39,0,,0,134,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,11.8,0,0,0,7,0,0.24,0,0,0,344,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.18,0.7,5.57,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,89,,
,healthy,CAMPBELL'S CHUNKY Soups,100,53,1.2,0.4,4,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0.29,0,0,0,408,0,0,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.16,0.8,0.82,0,0,0,0,0,0,1.22,0.408,0.408,0.408,4,0,7.47,0,0,81.1,,
,healthy,CAMPBELL'S Homestyle Microwaveable Bowls,100,53,1,0.2,4,167,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0.5,0,0,0,16,0,0.44,0,0,0,216,0,0,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.76,1.2,1.22,0,0,0,0,0,0,1.02,0.204,0.204,0,4,0,0.49,0,0,87.7,,
,healthy,CAMPBELL'S Homestyle Microwaveable Bowls,100,41,1,0.4,4,167,0,0,0,0,0,0,0,408,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0.29,0,0,0,216,0,0,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.31,0.8,1.63,0,0,0,0,0,0,1.02,0.408,0.204,0,4,0,2.4,0,0,88.5,,
,healthy,CAMPBELL'S Soup on theO,100,20,0.7,0.2,3,134,0,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0.12,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62,0.7,0.66,0,0,0,0,0,0,0.66,0.164,0.328,0,3,0,1.4,0,0,94,,
,raw,Eggplant,100,25,0.2,,0,2,6.9,22,0,0.649,0.281,0.037,0.039,23,1,0,14,0,36,0,0,0.084,2.20.00,0.3,0.3,3.5,9,0.081,0.23,14,0.232,24,229,0.3,0.16,0.98,0.051,0.057,0.164,0.006,0.186,0.041,0.023,0,0.045,0.064,0.047,0.0110.043,0.043,0.042,0.037,0.009,0.027,0.053,5.88,3,3.53,1.54,0,1.58,0,0,0.26,0.18,0.034,0.016,0.076,0,0,0.66,0,0,92.3,,
,raw,Cauliflower,100,25,0.3,0.1,0,30,44.3,57,0,0.507,0.667,0.06,0.05,0,0,0,0,0,1,0,0,0.184,48.20.00,0.08,0.08,15.5,22,0.039,0.42,15,0.155,44,299,0.6,0.27,1.92,0.116,0.086,0.177,0.02,0.257,0.071,0.056,0,0.071,0.106,0.217,0.0200.065,0.071,0.086,0.076,0.02,0.051,0.125,4.97,2,1.91,0.97,0,0.94,0,0,0,0.28,0.13,0.034,0.031,0,0,0.76,0,0,92.07,,
,raw,Taro leaves,100,42,0.7,0.2,0,3,12.8,126,0,1.513,0.084,0.456,0.209,4825,241,0,2895,0,1932,0,0,0.146,52.00.00,2.02,2.02,108.6,107,0.27,2.25,45,0.714,60,648,0.9,0.41,4.98,0,0.22,0,0.064,0,0,0.114,0,0.26,0.392,0.246,0.0790.195,0,0,0.167,0.048,0.178,0.256,6.7,3.7,3.01,0,0,0,0,0,0,0.74,0.151,0.06,0.307,0,0,1.92,0,0,85.66,,
